0.0143,0.0004,0.0679
0.0435,0.0012,0.2074
0.1344,0.004,0.6456
0.2839,0.0116,1.3856
0.3483,0.023,1.7471
0.3362,0.038,1.7721
0.2908,0.06,1.6692
0.1954,0.091,1.2876
0.0956,0.139,0.813
0.032,0.208,0.4652
0.0049,0.323,0.272
0.0093,0.503,0.1582
0.0633,0.71,0.0782
0.1655,0.862,0.0422
0.2904,0.954,0.0203
0.4334,0.995,0.0087
0.5945,0.995,0.0039
0.7621,0.952,0.0021
0.9163,0.87,0.0017
1.0263,0.757,0.0011
1.0622,0.631,0.0008
1.0026,0.503,0.0003
0.8544,0.381,0.0002
0.6424,0.265,0.0001
0.4479,0.175,0
0.2835,0.107,0
0.1649,0.061,0
0.0874,0.032,0
0.0467,0.017,0
0.0227,0.0082,0
0.0114,0.0041,0
